index,judul_berita
70,Laser Punktur Tingkatkan Kuantitas dan Kualitas Telur Burung Puyuh
71,Madu Hitam Efektif Mempercepat Penyembuhan Luka
72,Peneliti ITD UNAIR Teliti Potensi Zingiberaceae Jadi Tanaman Obat Anti-HIV
73,Koleksi Museum Etnografi FISIP Siap Dukung Program SDGs UNAIR
74,Kiprah UNAIR Sumbangkan Publikasi Ilmiah Guna Dukung SDGs
75,Koleksi di Museum Sejarah dan Budaya FIB Dukung SDGs UNAIR Indicator Public Access to Museums
76,UNAIR Beri Pendampingan Bagi Mahasiswa Difabel untuk Beasiswa AUNDPPNet
77,Beasiswa ADS Upaya UNAIR Mengentaskan Kemiskinan Global
78,"Meski Terbatas Ekonomi, Mahasiswa Bidikmisi UNAIR Mampu Raih Segudang Prestasi"
79,"Help Center, Ruang Solusi Permasalahan Civitas Akademika UNAIR"
80,UNAIR Raih 100 Top Dunia THE Impact Ranking Bidang No Poverty
81,UNAIR Libatkan Seluruh Fakultas Gali Inovasi Demi Kampus Berkelanjutan
82,"Wujudkan Kampus Berkelanjutan, UNAIR Catatkan Prestasi Sebagai 15 Besar Kampus Terbaik Versi UI GreenMetric"
83,Rektor Umumkan 6 Siswa Penerima Golden Ticket SBMPTN 2021 UNAIR
84,Transformasi UNAIR Bangun Kampus Berkelanjutan
85,Tips Atasi Kecanduan Gadget pada Anak
86,"Kunjungi UNAIR, Dirjen Dikti Berikan Banyak Masukan dan Apresiasi"
87,"Lanjutkan Agenda Tahunan, Sinergi Berbagi DWP UNAIR dan Bank BNI"
88,Ketua LTMPT Pastikan UTBK-SBMPTN 2021 Berjalan Aman dan Lancar
89,"Aman dan Lancar, Hari Perdana UTBK-SBMPTN di Universitas Airlangga"
90,UNAIR Dianugerahi PWI Sebagai Lembaga Penanganan Covid-19
91,Penerima KIP-Kuliah SNMPTN UNAIR Diimbau Segera Lengkapi Berkas
92,"Ulang Tahun ke-15, Hasna Azizah Masuk Ilmu Hukum UNAIR Jalur SNMPTN"
93,"Berusia 15 Tahun, 4 Siswa Ini Lolos SNMPTN 2021 UNAIR"
94,SDGs Center UNAIR Hadiri Sosialisasi Bappenas tentang Pelaksanaan Pencapaian SDGs
95,Jangkauan Tol Laut Menuju Kemandirian dan Kedaulatan Negara
96,Himpunan Kedokteran Hewan SIKIA UNAIR Berikan Susu Gratis Peringati Hari Pangan Dunia
