index,judul_berita
302,Mahasiswa UNAIR Sabet Juara 2 Pelopor Pemuda Gresik 2022
303,FISIP UNAIR Ajak Ibu Kampung 1001 Malam Buat Konten
304,Implementasikan Lifelong Learning Dosen FIB UNAIR Ikuti Pelatihan Menulis di Yogyakarta
305,Sinergi SIKIA UNAIR dan PDHI Jatim Adakan Vaksinasi Cegah Rabies pada Hewan
306,"Raih Juara 2, Mahasiswa UNAIR Gagas Aplikasi Petani"
307,Kisah Double Degree mahasiswa FPK UNAIR
308,Mahasiswi FK UNAIR Raih Juara III Writing Competition Djarum Beasiswa Plus
309,"Menolak Lupa, FH UNAIR Bahas Pelanggaran HAM 65"
310,Pakar UNAIR: Abnormalitas Otak Pasca Covid-19 Dapat Dikurangi dengan Terapi Dokter
311,Mahasiswa FTMM UNAIR Kantongi Juara I dalam ICE UB 2022
312,"Kunjungi UNAIR, Kedubes Prancis Kembali Perkuat Kerja Sama"
313,Sembilan Prodi di UNAIR Siap Akreditasi Internasional FIBAA
314,Bahaya Mana TBC atau Covid-19? Pakar UNAIR Berikan Jawaban!
315,Ekonom UNAIR Beri Solusi Kenaikan Permintaan Barang Menjelang Lebaran
316,dr Miftah Masuk Daftar Top 100 Medical and Health Sciences Scientist 2022
317,Sekolah Pascasarjana UNAIR Gelar Diskusi “Kepemimpinan sebagai Kunci Sukses dalam Berwirausaha”
318,"Lakukan Bersih Pantai, Direktur SIKIA : Pantai Bersih Masyarakat Sejahtera"
319,Tim RoboRush UNAIR Raih Prestasi Internasional
320,"Singgung Urgensi Hak Privasi Data Pribadi Pengguna Fintech, Mahasiswa FH Raih Juara II Kompetisi Legal Opinion"
321,"Pertukaran Pelajar ke Korsel, Diba: Di Sini Semuanya Serba Cepet!"
322,"Crazy Rich Jadi Pelaku Penipuan, Dosen Ilkom UNAIR: Medsos Hanya Pesona Palsu"
323,"Sri Mulyani Buru Pajak Crazy Rich Indonesia, Pakar Hukum UNAIR: Sasaran Empuk"
324,Profesor UNAIR Beberkan Rahasia Dapur Manajemen Kepemimpinan Keluarga
325,"Literasi Digital Indonesia Masih Rendah, Perlu Dikenalkan sejak Dini"
326,UNAIR Resmi Lakukan Perkuliahan Tatap Muka
327,Pakar UNAIR Tekankan Kehati-hatian dalam Menggunakan Data dari Media Sosial
328,"Tingkatkan Positioning dan Engagement, Brand Indonesia Klaim Ikuti Paris Fashion Week"
329,Pakar UNAIR Sebut 2 Keuntungan BSI menjadi Bank BUMN
330,Pakar Kedokteran Hewan Beri Solusi Kenaikan Harga Daging Sapi
331,"Peduli Pelaku Ekonomi Kreatif, Mahasiswa UNAIR Sabet Peringkat II Lomba Inovasi"
332,Alumnus UNAIR Dirikan Perusahaan Konsultan Pajak Hingga Sediakan Beasiswa 100 Juta
333,"Jelang Ramadhan, ABC UNAIR Gelar Seminar Zakat"
334,Tim UNAIR Sabet 3 Penghargaan di Ajang Lomba Debat Nasional KITA Brawijaya
335,"Kenalkan Budaya Lokal, Mahasiswa UNAIR Raih Juara 3 Esai Nasional"
336,"Gandeng PT Suparma Tbk, DPKKA UNAIR Bahas Peluang Kerja di Industri Pulp dan Kertas"
337,Vokasi UNAIR Gelar Pelatihan Kewirausahaan Digital dan Pengenalan Layanan Sertifikasi Halal Bagi UMKM di Sidoarjo
338,Membanggakan! Mahasiswa Gizi UNAIR Raih Juara 1 Putra Putri Gizi Jawa Timur 2022
339,Ketahuilah Dua Manfaat Utama Menjadi Seorang Content Creator
340,SIKIA UNAIR Ajak Mahasiswa Asing Tanam Mangrove Hingga Mendaki Gunung Ijen
341,HIMA EKIS UNAIR Adakan Study Visit Bersama Universitas Utara Malaysia
342,UNAIR Sukses Gelar Web-Post dan Media Social Competition 2022
343,"Cerita Katherine Shania, Wisudawan Lulus dari UNAIR dan QUT Australia"
344,AcSES FEB UNAIR Tingkatkan Semangat Kompetisi Mahasiswa Agar Lolos PIMNAS
345,Kenali 6 Tips Menulis Berita di Media Digital
346,FPK UNAIR Beri Solusi Alternatif Pakan Ikan untuk Warga Pacitan
347,Guest Lecture Sekolah Pascasarjana UNAIR Bahas Urgensi Hapus Diskriminasi Perempuan
348,The Philipps University of Marburg Belajar ke Museum Etnografi FISIP UNAIR
349,Hustle Culture dan Imposter Syndrome: Tren Toksik yang Harus Dihindari
350,BEM UNAIR Adakan Diskusi tentang Parenting dan Hak-Hak Anak
351,BEM UNAIR Gandeng BNNP Jawa Timur Adakan Talkshow Edukasi dan Sosialisasi NAPZA
352,Mahasiswa UNAIR Raih Kemenangan dalam Ajang Dance Cover Competition
353,FKG UNAIR Raih Rekor Dunia Lakukan Edukasi Kesehatan Gigi dengan Bahasa Isyarat
354,BLS FH UNAIR Ungkap Karakteristik Perseroan Perseorangan dan Problematikanya
355,Dosen UNAIR dan ITS Kembangkan Aplikasi Peningkatan Kepatuhan Pilar Diabetes
356,“BINDER” Program Sambut Penghuni Asrama Mahasiswa UNAIR
357,"Pemerintah Batalkan Rencana Konversi LPG ke Kompor Listrik, Pakar UNAIR: Bukti Ketidakmatangan Kebijakan Publik"
358,"Cerita Zaky, Mahasiswa Baru Termuda UNAIR 2022 Jalur SNMPTN"
359,Pakar UNAIR Jelaskan Kondisi Speech Delay pada Anak beserta Tips Pencegahannya
360,Simak Cara Menulis Esai untuk Beasiswa dari Workhsop Airvoscho 3.0
361,Partisipasi UNAIR dalam Indonesia Universities Climate Conference 2022
362,"Lakukan Diskusi dengan RSTKA, SDGs Center UNAIR Dukung Pengabdian Masyarakat Sampai ke Pelosok"
363,UNAIR Terima Penghargaan Media Sosial Terbaik dari Beritajatim
364,Magister Manajemen Bencana Gelar Diskusi Bencana Erupsi Semeru
365,"Pertamax Naik, Pakar UNAIR Imbau Pemerintah Antisipasi Harga Minyak Dunia"
366,Inkubator UNAIR Dorong Enterpreneur Baru dengan Pitching Riset SHARIA Sociopreneurship
367,"Muncul Fenomena Bahasa “Jaksel,” Begini Tanggapan Pakar UNAIR"
368,UNAIR – MSU Malaysia Bahas Kerja Sama Gelar Ganda
369,"Gastrodiplomasi di MotoGP, Dosen UNAIR: Masih Butuh Kolaborasi Lintas Sektor"
370,"Datangi UMKM dan Kelompok Tani, Organisasi Mahasiswa Ikuti LKMM-TM 2022"
371,UNAIR Turut Dukung Pemulihan Hijau dan Komitmen Iklim Indonesia
372,Melihat Manajemen Bencana Erupsi Semeru dari Perspektif Retorika dan Gender
373,BPBRIN Fasilitasi Bisnis Inkubasi UNAIR Penuhi Perizinan Usaha
374,Sebanyak 1.425 Siswa Diterima UNAIR Melalui Jalur SNMPTN 2022
375,Sekolah Pascasarjana UNAIR Buka Beasiswa Tahun 2022
376,Dokter Spesialis Bedah Plastik UNAIR Beberkan Atasi Luka Bakar Akibat Bencana
377,Pakar UNAIR: Urun Dana Rakyat untuk IKN Terlalu Utopis
378,Pakar UNAIR Imbau Masyarakat Tidak Pelihara Satwa Liar
379,"Workshop HKI Goes to Student, Libatkan Alumni UNAIR Hingga Pemerintah"
380,Sistem Pendidikan Kedokteran Indonesia Perlu Transformasi
381,Konsulat Jenderal Baru Australia di Surabaya Kunjungi Universitas Airlangga
382,Pahami Kondisi Sehat Mental Berikut Ini
383,BEM FTMM UNAIR Adakan Webinar Bahas Prinsip SDGs
384,Ketahui Faktor Risiko dan Gejala Penyakit Jantung
385,"Seremonial Pelepasan Wisudawan, HIMA EKIS UNAIR Gelar PROSA"
386,"Menuju Acara Puncak, BEM UNAIR Gelar Road to AYIFEST"
387,"Tanggapi Menko Luhut, Pengamat Politik UNAIR: Tidak Ada Kaitannya dengan Etnis"
388,"Apresiasi Karya, HIMA EKIS UNAIR Gelar Festival Film dan Fotografi"
389,Ulas Perbedaan CV Kreatif dan ATS Friendly melalui Bootcamp Karier BEM UNAIR
390,Fakultas Vokasi UNAIR Gelar Pemilihan Duta Vokasi 2022
391,Akuakultur SIKIA Kolaborasi Pengabdian Masyarakat melalui Program World Class University
392,"Wakili Wisudawan, Aswin Ajak Mahasiswa Gencarkan Publikasi Ilmiah"
393,Rektor Imbau Wisudawan Hindari Perilaku Kekerasan
394,AUBMO SIKIA UNAIR Bangun Relasi Organisasi Melalui Pertemuan Bersama FORBIMWANGI POLIWANGI
395,BEM UNAIR Gelar Refleksi Mengenang Kelam September Hitam
396,Tim Pengmas FF UNAIR Berikan Pelatihan untuk Kader Posyandu
397,Dukungan Psikososial bagi Anak Korban Banjir Tahunan
398,Mahasiswa Profesi FKp UNAIR Beri Edukasi Manajemen Nyeri Pasca Operasi RSUA
399,IKA UNAIR: Wisudawan Harus Miliki Sifat Teguh dan Inovatif dalam Bermasyarakat
400,Rektor Beri Kesempatan Wisudawan Sampaikan Kisah Menarik Selama Kuliah
401,"Wisuda Oktober, Rektor Imbau Wisudawan Tak Boleh Berhenti Belajar"
402,Rumah Sakit Hewan UNAIR Lakukan Vaksinasi Hewan Peringati Hari Rabies
403,Departemen Antropologi Gelar Kuliah Umum di Pelataran Museum Etnografi FISIP UNAIR
404,Pakar UNAIR Beri Analisis Pembatasan Pembelian dan Keluhan Pertalite Boros
405,Dosen Ilmu Gizi UNAIR Berikan Tips Hindari Gula Berlebih pada Makanan Kemasan
406,Dokter Spesialis Kandungan UNAIR Sarankan Ibu Hamil Penuhi Asupan Nutrisi Selama Puasa
407,"Sambangi UNAIR, Ayuma Sampaikan Selamat Atas Rangking 100 Dunia"
408,Pentingnya Kuasai Bahasa Inggris untuk Raih Prestasi Global
409,Tips Menjalani Puasa dan Diet dengan Cara Aman
410,BEM FPK UNAIR Akan Kampanyekan Krisis Iklim Melalui Airlangga Global Fisheries Summit
411,"Dorong Penguasaan Bahasa Asing, Pusbamulya Adakan English for Success"
412,Transformasi Model Wakaf di Era Modern
413,Alumnus UNAIR Terbitkan Antologi Puisi Tubuh Mati Menyantap Dirinya Sendiri
414,Pakar UNAIR Nilai Maudy Ayunda Capable sebagai Juru Bicara Presidensi G20
415,Pakar Bagikan Tips Berolahraga Bagi Lansia Saat Berpuasa di Dokter UNAIR TV
416,Dokter UNAIR TV Ulas Kiat Berpuasa Ramadhan Aman dan sehat Bagi Usia Lanjut
417,Mengenal Lebih Dekat Seputar Fenomena Pembohong Patologis
418,"Atasi Penyakit Ikan, Dosen UNAIR Hadirkan Klinik Ikan di Banyuwangi"
419,Pelatihan S2 Ilmu Linguistik Tingkatkan Kemampuan Bahasa Inggris Mahasiswa
420,Menelusuri Tradisi Toleransi Indonesia dari Prespektif Serat Damarwulan
421,"Bayar Pajak Kendaraan Lebih Mudah, Gubernur Khofifah Luncurkan Samsat Kampus"
422,"Atasi Gangguan Lambung saat Puasa, Berikut Penjelasan Dosen FK UNAIR"
423,Raih Juara Lewat Ide Webinar Series Bahas Kuliner Nusantara dari Naskah Kuno
424,"Berusia 14 Tahun, Ratu Lolos SNMPTN UNAIR"
425,Menelisik Kesiapan Pandemi Menuju Endemi
426,"Sambut Ramadan, SPS UNAIR Ajak Masyarakat Lakukan Transformasi Pola Hidup"
427,Roadshow Duta Farmasi UNAIR 2022 Usung Tema Smart and Talented
428,Delegasi FH UNAIR Raih Juara III di Kompetisi Hukum Perdata
429,"Usung Potensi Dongeng Tradisional, Tiga Mahasiswa UNAIR Raih Juara II Artikel Ilmiah Tingkat Nasional"
430,"Mahalnya harga BBM, Mahasiswa UNAIR adakan Kajian Pembelian Minyak dari Rusia"
431,Museum Etnografi FISIP UNAIR Kembali Ajak Mahasiswa Kenali Budaya Kematian di Nusantara
432,Mahasiswi FH UNAIR Juara I Lomba Legal Review BUMN Legal Summit 2022
433,UNAIR Berikan Pelatihan Penanganan Korban Kekerasan Seksual
434,Satgas PPKS UNAIR Ikuti Bimtek Penanganan Kekerasan Seksual Kemdikbud-Ristek RI
435,PDKV FKH UNAIR 2022 Hadirkan Beragam Kegiatan Pengenalan Dunia Veteriner
436,Menteri Hingga Penulis Hadir dalam Webinar Series Berskala Internasional HMD Sasindo UNAIR
437,"Yuk, Cari Tahu 5 Manfaat Magang bagi Mahasiswa!"
438,"Kenalkan Legalitas Usaha, Komunitas PMW UNAIR Gelar Legal Day 2022"
439,Dosen FKp UNAIR Berikan Penyuluhan Penanganan Kejadian di Panti Werdha
440,Mahasiswa FKp UNAIR Beri Edukasi Atasi Kecemasan Sebelum Operasi
441,Mahasiswa UNAIR Sabet Juara 1 dalam Essay Competition IDTC 2022
442,Delegasi MYMA FH UNAIR Sabet Juara Pertama dan Pembicara Terbaik Kompetisi Debat Hukum Nasional NLDC 2022
443,Mengulik Potensi dan Tantangan Penerapan Pajak Karbon di Indonesia
444,ALSR 2022 UNAIR Laksanakan Pengabdian Masyarakat di Kampung Makam Umum Rangkah
445,Wakil Rektor Tekankan Lulusan Vokasi UNAIR Dicetak Siap Mengabdi dengan Moral
446,"FPK UNAIR Gelar INCOFIMS, Konferensi Bergengsi Tingkat Internasional"
447,Mahasiswa Fakultas Keperawatan UNAIR Sabet Juara 3 di Ajang LKTI
448,Pakar Hukum Lingkungan UNAIR: Hukum Kita Masih Belum Berwawasan Lingkungan
449,Delegasi KPS FH UNAIR Raih Penghargaan Berkas Terbaik Kompetisi Peradilan Semu NMCC TRD VII
450,Beberapa jenis Trypanosoma Berpotensi Jadi Zoonosis
451,UNAIR Ajak Universiti Kebangsaan Malaysia dalam Program Joint Class
452,Kuliah Tamu Departemen Ilmu Ekonomi UNAIR Bahas Hubungan Ekonomi Politik antara Indonesia dan Tiongkok
453,UNAIR Targetkan Mahasiswa KIP Kuliah dan Afirmasi Angkatan 2019 Lulus Tepat Waktu
454,Kuliah Tamu Prodi K3 Ulas Penerapan CSMS sebagai Pencegahan Kecelakaan Kerja
455,HRLS UNAIR Kupas Premis Perlindungan Konsumen sebagai HAM
456,Prodi BATTRA Gelar Seminar Diet Sehat di Bulan Ramadhan Bagi Penderita Muskuloskeletal
457,Kementerian Kesetaraan Gender BEM FH UNAIR Soroti Bahaya Pernikahan Dini Melalui Webinar Diskusi
458,Mengenal Lebih Dekat Parasit pada Ayam Melalui Webinar Nasional HMKH UNAIR
459,Direktur Registrasi Obat Paparkan Peran Badan POM Selama Pandemi Covid-19 pada Webinar FF UNAIR
460,"Lebarkan Sayap Pengaruh ke Masyarakat Luas, FSB FH UNAIR Lakukan Rebranding Organisasi"
461,"Menelisik Proses Dibalik Proses Siaran Radio,  HIMA Komunikasi Adakan Sharing Session “Jurnalisme Radio”"
462,Tiga Bidang Ilmu FEB UNAIR Masuk Top Terbaik Indonesia Versi QS by Subject
463,"Airlangga Forum Tekankan SDM Berkualitas, dalam Mengelola Informasi Valid"
464,"QS WUR 2022, FH UNAIR Duduki Peringkat Terbaik di Indonesia"
465,"Hadiri Airlangga Forum, Kepala Dinas Kominfo Jatim Bahas Penanganan Satu Data di Jawa Timur"
466,"Ketua MK Nikahi Adik Jokowi, Pakar HTN UNAIR: Harus Kembali ke Kode Etik Hakim Konstitusi"
467,Pakar HAM UNAIR: Kasus Haris-Fatia adalah SLAPP
468,Tips Menu Sehat Buka Puasa dan Sahur Ala Pakar Gizi UNAIR
469,"Bikin Bangga, Mahasiswa UNAIR Raih Medali Emas POMPROV 2021"
470,"Manfaatkan Daun Anting-Anting untuk Asam Urat, Raih 2 Lomba Business Plan"
471,"Dukung Permendikbud Ristek, ASWGI: “Kekerasan Seksual di Perguruan Tinggi Memang Nyata”"
472,Ahli Gizi UNAIR Bagikan Tips Agar Tubuh Tidak Lemas Selama Puasa
473,"Angkat Ethno Ecotourism Banyuwangi, BEM KM SIKIA Lolos Pendanaan INTEGRATION"
474,6 Ksatria Airlangga Harumkan Almamater Lewat Ajang Debat Hukum Nasional
475,"QS WUR by Subject 2022, Peringkat Delapan Bidang Keilmuan UNAIR Melesat"
476,Mengkritisi Film ala Dosen FIB Peraih Piala Citra
477,Tim UNAIR Sabet Juara 2 Olimpiade Akuntansi
478,Putri Mahfud MD Tekuni Bidang Rehabilitasi Medik untuk Mengabdi
479,Mahfud MD Beri Pesan Kebanggaan pada Pelantikan Spesialis Baru FK UNAIR
480,"Gandeng PMI, BEM FEB UNAIR Gelar Aksi Donor Darah"
481,FPK UNAIR Tingkatkan Hasil Produksi Ikan lewat Pengabdian Masyarakat
482,"Monitoring Prestasi, UNAIR Fasilitasi Keluhan Studi Mahasiswa KIP-K dan Afirmasi Dikti"
483,Cara Cerdas Manajemen Emosi untuk Menjadi Pemimpin yang Berintegritas
484,Mahasiswa Suguhkan Instrumental Musik hingga Stand Up Comedy dalam Closing Dies Natalis FFUA Ke-59
485,Help Center UNAIR Beri Tips Trik Kuliah Luring
486,MYMA FH UNAIR Beri Tips dan Trik Jadi Mahasiswa Hukum Berprestasi
487,"Bicara Soal Seksualitas, Jurnalis dan Dokter Obgyn UNAIR Berikan Edukasi"
488,Mahasiswa UNAIR Adakan Seminar Mentoring Copywriting Tingkatkan Digital Bisnis
489,Gowes Bareng Gubernur dan Alumni UNAIR Ramaikan World Heart Day
490,"Bagikan Susu Gratis, Mahasiswa UNAIR Berikan Edukasi Pentingnya Minum Susu"
491,Farmasi UNAIR Gelar Pelatihan Produk Ikan dan Hasil Olahan di Sentra Ikan Bulak Kenjeran
492,"Dukung Pemulihan Pendidikan Pasca Pandemi, UNAIR Berikan Beasiswa Ratusan Siswa SD di Mulyorejo Surabaya"
493,BEM FKG Ajak Mahasiswa Asah Skill Menulis
494,"Sekolah Legislatif, BLM FEB UNAIR Dorong Implementasi Good Student Governance"
495,160 Mahasiswa UNAIR Ikuti Simulasi Sidang Legislatif di DPRD Kota Surabaya
496,"Pengmas FST UNAIR, Mahasiswa Nepal Hingga Filipina Ikuti Cultural Visit"
497,FST UNAIR Ajak Mahasiswa Internasional Kenalan dengan Budaya Khas Jombang
498,Kenali Empat Pilar dalam Berkarir di Bidang Digital Marketing
499,Mahasiswa UNAIR Wakili Indonesia dalam Lomba Debat di Madrid
500,UNAIR Gelar Final Kompetisi METHANOL dari KTI Hingga Olimpiade
501,ILSA Chapter UNAIR Bagikan Tips Berkarier Mahasiswa Hukum Internasional
502,"Melesat, FK UNAIR Duduki Peringkat 401-450 QS WUR by Subject Medicine"
503,Karya Kolaborasi FIB UNAIR – Dinas Perpustakaan dan Arsip Surabaya Tembus Nominasi The Awards Asia 2022
504,Cerita Culture Shock Vina Saat Menimba Ilmu di Negeri Ginseng
505,Dokter UNAIR TV Ulas Kiat Berpuasa bagi Penderita Diabetes
506,Penderita Diabetes Harus Memperhatikan Indeks Glikemik Makanan Saat Berpuasa
507,Pakar UNAIR Sarankan Diet Tiga Satu Bagi Penderita Diabetes di Bulan Ramadan
508,Menjadikan Ramadan Tonggak Tingkatkan Distribusi Manfaat Antar-Umat
509,Juarai Kompetisi dengan Kenalkan Farmasi Berbahan Herbal ke Dunia Internasional
510,Langkah Departemen Ilmu Ekonomi UNAIR Hadapi Era Revolusi 4.0
511,Perwakilan UNAIR Usulkan Pembentukan Konsorsium Riset Nasional dalam IUCC
512,UNAIR Buat Program Kursus Intensif ELPT Gratis
513,3 Langkah Strategis Pengentasan Kemiskinan Ekstrem ala Deputi PMK
514,"Perdana Usai Ganti Nama, SIKIA Banyuwangi Yudisium 14 Mahasiswa"
515,Cerita Lima Ksatria Airlangga Terpilih Ikuti Konferensi di Turki
516,Ketahui Strategi Jalin Komunikasi dengan Penyandang Autisme Melalui Webinar FISIP UNAIR
517,Lirik Lagu Ternyata Bisa Jadi Sumber Sejarah
518,Mengenal Lebih Dekat Program Studi Teknologi Hasil Perikanan
519,"Waktu Tunggu Mencapai 46 Tahun, Bagaimana Pengelolaan Dana Haji?"
520,Garuda Sakti SIKIA Banyuwangi Fasilitasi Kreatifitas Mahasiswa dan Inovasi pada Mawapres 2022
521,"PPN Naik, Pakar Perpajakan UNAIR: Ini Bentuk Counterbalance"
522,Bidang Art & Humanities UNAIR Berhasil Peroleh Peringkat 401-450 Dunia Versi QS WUR 2022
523,Pakar Budaya UNAIR Sebut Klaim Reog Ponorogo Adalah Refleksi Bagi Indonesia
524,"Vakum Selama 2 Tahun, Masjid Ulul Azmi Kembali Semarakkan Bulan Suci Ramadan 1443 H"
525,BEM KM Psikologi UNAIR Tebar Kebahagiaan Ramadhan dengan ABK
526,Mahasiswa Fakultas Keperawatan UNAIR Turun Menjadi Tim Medis Baksos Probolinggo
527,SIKIA UNAIR Berkolaborasi Sukseskan World Clean Up Day Terbesar di Dunia
528,DPKKA UNAIR Gelar Webinar Tingkatkan Pemahaman tentang Alur Rekrutmen Perusahaan
529,Trik Jitu Tampil Memukau di Depan Recruiter dengan Metode STAR
530,Simak Tips Menjawab Pertanyaan Wawancara Kerja Lewat Metode STAR
531,Webinar FPCI UNAIR Refleksikan Kebijakan Luar Negeri Indonesia selama 77 Tahun
532,Dosen UNAIR Bicara Pro dan Kontra Legalisasi Ganja Medis
533,"Kajian Tematik, UKMKI UNAIR Bahas Isu Kesehatan Mental Menurut Islam"
534,"Airlangga Forum Ke-100, Guru Besar FH UNAIR Paparkan Kontribusi Kampus bagi Kemajuan Bangsa"
535,Pengmas Departemen Ilmu Faal dan Biokimia Kedokteran FK UNAIR untuk Lansia Sehat dan Aktif Bergerak
536,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR
537,Doktor Muda UNAIR: BPD Perlu Tingkatkan Teknologi
538,"Bedah Buku, HMD Ilmu Sejarah FIB UNAIR Bongkar Kisah Hidup DN Aidit"
539,"BEM FEB UNAIR Gelar Job Fair, Fasilitasi Lulusan Berkarir di Perusahaan Impian"
540,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University
541,"Kenalkan Musik sebagai Tema Penelitian, Kaprodi MKSB UNAIR Gelar CAFO"
542,Paradigma Baru Patogenesis Lambung: Peran Penting Mikrobiota Lambung
543,"Dukung Program Eliminasi TB Anak, Geliat Airlangga Tekankan Prinsip Integrasi dan Kolaborasi"
544,"Kuliah Tamu FH UNAIR, Prof Stefan Koos Jelaskan Hukum Persaingan Usaha di Eropa"
545,SDGs Center UNAIR Gandeng Seknas SDGs BAPPENAS Adakan FGD Modul Pembelajaran
546,"Banggar DPR RI Usulkan Daya Listrik 450 VA Dihapus, Pakar UNAIR: Tidak Pro Rakyat"
547,BEM UNAIR Dorong Potensi Ekowisata di Pantai Tamban Malang
548,UNAIR Promosikan Kolaborasi Melalui Interprofessional Collaboration
549,AMSA-UNAIR Raih Empat Penghargaan di Musyawarah Nasional Indonesia 2022
550,Siap-Siap! Ada Program IISMA Khusus Edisi Vokasi
551,Rektor Ajak Umat Muslim Investasi Kebaikan Selama Ramadan
552,Keceriaan Ramadhan Kampung Nelayan Kalisari Bersama Penerima Manfaat Beasiswa Cendekia BAZNAS UNAIR
553,FK UNAIR Visitasi ke RSPAD Gatot Soebroto Persiapan Kuliah Hybrid TNI
554,Sembilan Prodi FK UNAIR Siap Terima PPDS TNI
555,Kepala Dinas Kehutanan Jatim Bahas Pengelolaan Perhutanan Sosial pada Gelaran Airlangga Forum
556,Webinar DPKKA UNAIR Imbau Agar Tidak Melewatkan Kesempatan Berkarir di Bank BTN
557,Intip Jenjang Karir di Bank BTN Bersama DPKKA UNAIR
558,"Prof Ida, Profesor Pertama Studi Media di Indonesia Masuk Top 100 Scientist"
559,Olahan Ikan Sehat Tanpa Digoreng untuk Konsumsi saat Berpuasa
560,Dosen Psikologi UNAIR Beberkan Manfaat Berpuasa dari Segi Psikologis
561,"Sambut Demo Mahasiswa 14 April, BEM UNAIR Usung Berbagai Tuntutan"
562,DPKKA UNAIR Bagikan Cerita Peluang Berkarir di BNI
563,BNI Bersama Dharma Wanita UNAIR Bagikan Seribu Paket Sembako
564,"Tanggapi Demo Mahasiswa, Pakar UNAIR: Mahasiswa sebagai Amplifikator Keresahan Publik"
565,Tarawih di Metaverse! Begini Penjelasan Pakar Komunikasi UNAIR
566,Ahli Gizi Unair Bagikan Tips Sehat Makan Gorengan Saat Buka Puasa
567,Konsumsi Gorengan Berlebih Picu Tingginya Kolesterol
568,"Implementasi Program Artificial Intelligence, Tim Polar’s Bot UNAIR Raih Prestasi Internasional"
569,Wacana Tiga Periode Jadi Hadiah April Mop dari Pemerintah
570,"Presidensi Indonesia G20 sebagai Penengah Konflik Rusia-Ukraina, Pakar HI UNAIR: Saya Tidak Seoptimis Itu"
571,"Dokter UNAIR TV, Ulas Kiat-Kiat Berpuasa bagi Ibu Hamil dan Menyusui"
572,HIMA Komunikasi UNAIR Lolos Pendanaan INTEGRATION untuk Kegiatan AISCOMS 2022
573,"Sosiologi UNAIR Tembus Peringkat 251-300 Terbaik Dunia, Dekan FISIP: Yang Penting Kompetensi Lulusan"
574,Komnas HAM Diseminasikan Standar Norma dan Pengaturan di FH UNAIR
575,Joeni Arianto Kurniawan: Konvensi ILO 189 Harus Segera Diratifikasi
576,"Diskusi Terbuka AIILS FH UNAIR, Mantan Wamenlu RI Tanggapi Isu Energi"
577,"Cilegon Menolak Pembangunan Gereja, Pakar HAM UNAIR Berikan Catatan"
578,FGD SDGs Center UNAIR Bahas Pembuatan Modul Pembelajaran Mahasiswa
579,"UB Gelar Kunjungan ke UNAIR, Bahas Struktur Organisasi dan Tata Kerja Lembaga"
580,"Kuliah Tamu FH UNAIR, Prof Michael Bohne Paparkan Urgensi Perlindungan Data di Bidang Hukum Dagang"
581,FKM UNAIR Telusuri Potensi Mahasiswa Lewat Seleksi Mawapres
582,Pakar Komunikasi: Aksi Peretasan Bjorka Bukan Bentuk Demonstrasi Modern
583,DONDA Fakultas Keperawatan Gerakkan Mahasiswa Baru untuk Donor Darah
584,Mahasiswa Baru Ilmu Sejarah Bangun Social Awareness di Panti Asuhan dan Kampung Pemulung
585,Mahasiswa FEB UNAIR Ikuti Konferensi SDGs Internasional dan Raih Medali Perunggu
586,"Lima Tahun Ikuti KDMI, ADS UNAIR Akhirnya Lolos ke Final dan Raih Juara II Nasional"
587,"Peringati Dies Natalis Ke-109, FK UNAIR Kampanyekan Peduli dan Jaga Kesehatan"
588,LPM Mercusuar UNAIR Gelar Pelatihan Jurnalistik Tingkat Dasar
589,Tahun 2022 Fakultas Vokasi UNAIR Progres Signifikan
590,"Peringati Pendidikan Dokter Ke-109, FK UNAIR Adakan Senam & Jalan Sehat Bersama"
591,Delegasi ADS UNAIR Raih 2nd Runner Up di Kompetisi Debat Ekonomi Syariah Nasional
592,Simak Penjelasan Persiapan Pernikahan Ditinjau dari Segi Kesehatan Reproduksi
593,Pernikahan Dini Tingkatkan Potensi Kanker Serviks Lebih Besar. Benarkah?
594,Pemerintah Mengatur Usia Warganya untuk Menikah. Apa Alasannya?
595,Mengenal Lebih Dekat tentang Event Organizer dan Project Development Executive
596,Ketahui Asupan Nutrisi Ideal Bagi Ibu Hamil
597,Mahasiswa FIB UNAIR Bagikan Tips Meraih Beasiswa Bergengsi
598,"Kawal Isu di Banyuwangi Bersama, BEM SIKIA Audiensi ke Ketua DPRD"
599,"Puluhan Sapi Mati di Sampang, Pakar Ruminansia UNAIR Soroti 2 Faktor"
600,Pakar Hukum UNAIR Paparkan Indikasi Penipuan Berkedok Investasi
601,Alumni UNAIR Awardee Fulbright Bagikan Tips Lolos Beasiswa ke Amerika Serikat
602,"Ramai Soal Hapus Email Dapat Kurangi Emisi Karbon, Ini Kata Pakar UNAIR"
603,Habib Geys Assegaf Ajak Remaja Cintai Al-Quran
604,Kesan Mufa Saat Jadi Juri Ajang Pemilihan Putera Puteri Kampus Jawa Timur
605,Pakar Komunikasi UNAIR Ungkap Indikasi Adanya Seksisme Pada Poster Demonstrasi Mahasiswa
606,Pakar Industri Media UNAIR Nilai Perpindahan TV Analog Buka Banyak Peluang
607,Pakar Hukum UNAIR Optimis UU TPKS Jadi Langkah Penting bagi Keadilan Penyintas
608,"Ramadan, Momentum Tepat untuk Perbaiki Diri"
